Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,labels
2023-04-16 08:50:30:207680,7.651162790697675,6.976744186046512,1027.139534883721,-781.2275177727299,493.2558139534884,-320.69767441860466,-168.1627906976744,-168.1627906976744,-168.1627906976744,0.0
2023-04-16 08:50:30:223223,6.340909090909091,5.977272727272728,1026.1136363636365,-782.2378427820273,488.4090909090909,-308.6363636363636,-168.22727272727272,-168.22727272727272,-168.22727272727272,0.0
2023-04-16 08:50:30:232233,5.590909090909091,6.159090909090909,1025.5,-781.3339171621926,456.59090909090907,-292.72727272727275,-168.13636363636363,-168.13636363636363,-168.13636363636363,0.0
2023-04-16 08:50:30:247658,5.5227272727272725,5.159090909090909,1024.909090909091,-783.5394956745894,461.3636363636364,-280.0,-168.22727272727272,-168.22727272727272,-168.22727272727272,0.0
2023-04-16 08:50:30:263114,5.227272727272728,5.0,1023.7045454545456,-784.395211928033,435.9090909090909,-267.27272727272725,-168.04545454545453,-168.04545454545453,-168.04545454545453,0.0
2023-04-16 08:50:30:272309,4.659090909090909,6.136363636363637,1023.0909090909092,-786.8538896139834,404.09090909090907,-249.77272727272728,-167.9090909090909,-167.9090909090909,-167.9090909090909,0.0
2023-04-16 08:50:30:287674,4.977272727272728,4.204545454545454,1024.2272727272727,-789.645211928033,361.1363636363636,-232.27272727272728,-167.86363636363637,-167.86363636363637,-167.86363636363637,0.0
2023-04-16 08:50:30:298145,4.5227272727272725,2.4545454545454546,1023.2954545454544,-792.8390824514488,342.04545454545456,-208.4090909090909,-167.77272727272728,-167.77272727272728,-167.77272727272728,0.0
2023-04-16 08:50:30:312366,5.045454545454546,1.4545454545454546,1023.7727272727273,-797.4051981539283,332.5,-189.3181818181818,-167.95454545454547,-167.95454545454547,-167.95454545454547,0.0
2023-04-16 08:50:30:327748,4.545454545454546,1.0909090909090908,1023.681818181818,-799.1768923688043,316.59090909090907,-167.04545454545453,-167.9090909090909,-167.9090909090909,-167.9090909090909,0.0
2023-04-16 08:50:30:338268,4.454545454545454,0.6363636363636364,1023.2272727272727,-799.2813459959852,284.77272727272725,-143.1818181818182,-167.9090909090909,-167.9090909090909,-167.9090909090909,0.0
2023-04-16 08:50:30:352456,4.409090909090909,-0.6363636363636364,1022.7045454545456,-797.1191559133405,254.54545454545453,-124.0909090909091,-167.8181818181818,-167.8181818181818,-167.8181818181818,0.0
2023-04-16 08:50:30:362703,3.2954545454545454,-0.5454545454545454,1021.9545454545456,-792.2741145910265,230.6818181818182,-105.0,-167.77272727272728,-167.77272727272728,-167.77272727272728,0.0
2023-04-16 08:50:30:378569,4.25,-0.5681818181818182,1022.1363636363636,-785.6694313954341,189.3181818181818,-90.6818181818182,-167.6818181818182,-167.6818181818182,-167.6818181818182,0.0
2023-04-16 08:50:30:392545,4.681818181818182,-0.8409090909090909,1022.068181818182,-776.7024892466738,167.04545454545453,-71.5909090909091,-167.4090909090909,-167.4090909090909,-167.4090909090909,0.0
2023-04-16 08:50:30:402715,4.2727272727272725,-0.4772727272727273,1022.4545454545456,-765.5454644532855,136.8181818181818,-52.5,-167.1818181818182,-167.1818181818182,-167.1818181818182,0.0
2023-04-16 08:50:30:417146,4.113636363636363,0.9090909090909092,1023.9090909090908,-753.5750787783544,117.72727272727272,-31.818181818181817,-167.0681818181818,-167.0681818181818,-167.0681818181818,0.0
2023-04-16 08:50:30:427414,4.727272727272728,1.818181818181818,1026.2954545454545,-740.7935705138915,92.27272727272728,-12.727272727272728,-167.27272727272728,-167.27272727272728,-167.27272727272728,0.0
2023-04-16 08:50:30:442857,4.068181818181818,3.25,1025.9772727272727,-727.7557727501579,90.6818181818182,7.954545454545454,-167.02272727272728,-167.02272727272728,-167.02272727272728,0.0
2023-04-16 08:50:30:457057,4.045454545454546,5.795454545454546,1025.840909090909,-714.6307727501579,87.5,30.227272727272727,-167.0909090909091,-167.0909090909091,-167.0909090909091,0.0
2023-04-16 08:50:30:467450,3.636363636363636,6.477272727272728,1025.4772727272727,-701.8882760124458,60.45454545454545,52.5,-167.1590909090909,-167.1590909090909,-167.1590909090909,0.0
2023-04-16 08:50:30:482886,3.8181818181818175,7.795454545454546,1027.5681818181818,-690.4915817975698,44.54545454545455,70.0,-166.95454545454547,-166.95454545454547,-166.95454545454547,0.0
2023-04-16 08:50:30:491839,2.386363636363636,7.840909090909091,1029.6818181818182,-680.2574220179554,36.59090909090909,84.31818181818181,-166.9318181818182,-166.9318181818182,-166.9318181818182,0.0
